strain,resistance,mecA,no_of_SCCmec,single_gene_prediction,whole_cassette_prediction,wcp_pident,agreement
1280_12460,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.99,True
1418270_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1409773_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1280_2218,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.58,True
46170_565,MSSA,False,0,,,0.0,True
1410759_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1280_4003,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_23545,MSSA,False,0,,,0.0,True
1280_6000,MRSA,True,Multiple,SCCmec_type_VI(4B),SCCmec_type_VIII(4A),72.4,False
1280_4694,MRSA,True,1,SCCmec_type_IVb(2B),SCCmec_type_IVb(2B),99.1,True
1417089_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,True
1280_17737,MSSA,False,0,,,0.0,True
1280_4995,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1280_10016,MSSA,False,0,,,0.0,True
1409465_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.81,True
1410838_3,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),79.72,False
1280_3828,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.12,True
1028799_3,MSSA,False,0,,,0.0,True
1280_4652,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.04,True
1280_4358,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.82,True
1409703_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.55,True
1280_21640,MSSA,False,0,,,0.0,True
1412701_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.66,True
1280_3886,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.02,True
1280_11660,MSSA,False,0,,,0.0,True
1280_17867,MSSA,False,0,,,0.0,True
46170_500,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.01,True
1280_4693,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1409779_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.74,True
46170_348,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.76,True
1417208_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.2,True
1421879_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.37,True
1412779_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1409650_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.72,True
1280_16156,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
46170_149,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1280_3698,MSSA,False,0,,,0.0,True
1280_3820,MSSA,False,0,,,0.0,True
1280_11659,MSSA,False,0,,,0.0,True
1280_17755,MSSA,False,0,,,0.0,True
1280_4787,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.09,True
1418426_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.81,True
1280_27477,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.85,True
1410003_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),79.81,True
1417063_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.98,True
1280_3825,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.94,True
1280_17944,MSSA,False,0,,,0.0,True
1280_7951,MSSA,False,0,,,0.0,True
1280_4762,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.87,True
1280_4515,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1418365_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.11,True
1280_4490,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_16254,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.11,True
1280_12473,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.77,True
1280_4506,MSSA,False,0,,,0.0,True
553567_3,MRSA,True,1,SCCmec_type_II(2A),SCCmec_type_II(2A),95.02,True
1280_4541,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.98,True
46170_277,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,True
1412784_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,True
1417117_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.7,True
1412717_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.59,True
1280_12325,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.89,True
1410777_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1409693_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.12,True
1410743_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.62,True
367830_75,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_18042,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),91.12,True
1417170_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.77,True
1418399_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_7296,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.61,True
1280_4361,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.75,True
1280_4368,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.71,True
1280_18564,MSSA,False,0,,,0.0,True
1421897_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_28656,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1280_4538,MSSA,False,0,,,0.0,True
1280_4978,MSSA,False,0,,,0.0,True
1280_7295,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),76.77,False
1409517_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.32,True
1412783_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.04,True
1280_12543,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.49,True
1280_3944,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.16,True
1280_12376,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.82,True
1412795_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
46170_106,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.44,True
1412631_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.76,True
1392011_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),83.47,True
1337995_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1417210_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.42,True
1280_12464,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.58,True
1280_16235,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.03,True
1280_4701,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.94,True
1280_4020,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.3,True
1280_4503,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.58,True
1409611_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.4,True
1280_3952,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1280_16046,MSSA,False,0,,,0.0,True
1280_6196,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),84.66,True
1280_4917,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.97,True
1280_16332,MSSA,False,0,,,0.0,True
1409652_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_11661,MSSA,False,0,,,0.0,True
1280_3954,MRSA,True,1,SCCmec_type_IVb(2B),SCCmec_type_IVb(2B),99.02,True
1280_4948,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.91,True
1280_11664,MSSA,False,0,,,0.0,True
1280_3971,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.62,True
1280_4535,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.26,True
1280_3965,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.96,True
1280_18510,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.97,True
1409433_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,True
1409514_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.05,True
1280_10022,MSSA,False,0,,,0.0,True
1418437_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1417047_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.66,True
754026_3,MRSA,True,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),91.23,True
1280_3913,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.95,True
1280_11670,MSSA,False,0,,,0.0,True
1280_4384,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1280_12584,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,True
1280_4726,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.93,True
1280_3937,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_12489,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.94,True
1409726_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
931442_3,MRSA,True,1,SCCmec_type_II(2A),SCCmec_type_II(2A),97.26,True
1280_3841,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.82,True
1280_25064,MRSA,True,Multiple,SCCmec_type_IV(2B),SCCmec_type_II(2A),52.1,False
1280_28558,MSSA,False,0,,,0.0,True
1280_3909,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.97,True
1280_9960,MSSA,False,0,,,0.0,True
1280_4715,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.98,True
1417158_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.57,True
1280_10019,MSSA,False,0,,,0.0,True
1280_12911,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1409523_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.69,True
1280_12918,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1280_4018,MSSA,False,0,,,0.0,True
1409386_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.5,True
1280_16438,MSSA,False,0,,,0.0,True
1421834_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.55,True
1418368_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.96,True
1280_3925,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1421843_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.6,True
1280_17884,MRSA,True,1,SCCmec_type_I(1B),SCCmec_type_I(1B),86.73,True
1280_17891,MSSA,False,0,,,0.0,True
1280_4409,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_3976,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.91,True
1417177_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1280_4030,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_12477,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_7312,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.71,True
1412812_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1280_4980,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.04,True
1418433_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.46,True
1280_4001,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.07,True
1280_3384,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.94,True
1409467_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.39,True
1411567_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.41,True
1280_4426,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.02,True
1402811_3,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),76.37,False
46170_363,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1280_4725,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.86,True
1410713_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.78,True
1412792_3,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),77.81,False
1409578_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1417156_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.51,True
1280_12318,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1280_4041,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,True
1280_16300,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1280_3890,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),80.13,False
1280_4644,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.79,True
1280_3847,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.91,True
1280_4722,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.79,True
1421851_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.73,True
1280_4659,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1280_18603,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.05,True
1421881_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.88,True
1280_4723,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.73,True
1280_17746,MSSA,False,0,,,0.0,True
1409509_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),91.2,True
1280_2215,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.33,True
